total_spend,num_transactions,num_products,last_purchase_week,first_purchase_week
18494.14,310,2390,102,16
2538.88,96,666,102,2
2233.84,80,388,101,10
914.56,46,159,92,6
6107.18,240,900,102,2
3652.97,98,539,102,5
1776.65,45,362,102,13
696.38,52,109,102,14
2470.9900000000002,56,491,100,12
4499.85,135,1023,102,4
1148.42,129,325,102,3
6697.21,158,826,101,13
2426.3,112,697,102,13
5963.78,284,545,101,6
2488.65,153,593,101,5
514.63,16,77,100,17
2177.04,29,578,83,10
3012.96,84,840,101,16
6960.96,256,1027,102,14
1696.6100000000001,46,298,92,12
2130.58,99,605,102,4
6013.04,194,1148,101,12
983.32,20,296,102,15
230.85,14,101,85,12
2441.79,24,455,99,15
5543.91,151,1005,102,5
7860.85,228,907,102,15
1073.01,53,208,102,2
3361.43,95,833,100,10
542.89,43,140,102,16
2377.09,107,557,102,15
531.67,36,127,102,14
3486.55,257,705,102,1
949.82,76,221,100,2
3778.75,117,761,102,11
1817.22,93,155,102,12
2318.7400000000002,30,491,100,17
5915.7300000000005,90,986,102,2
4456.52,67,685,101,15
568.21,38,129,102,15
83.88,6,26,71,17
2369.9,76,240,102,17
3094.71,214,632,102,12
2644.21,103,477,102,11
1261.6200000000001,44,354,82,10
2696.5,232,483,92,11
212.05,30,56,101,17
1670.44,136,366,102,8
493.37,45,95,102,5
827.44,34,200,101,15
1540.45,65,277,100,16
2376.28,161,438,102,2
786.99,26,261,99,16
742.95,34,176,102,12
8215.93,356,1352,102,2
1253.4,25,270,102,10
6314.03,94,1023,101,4
718.0,78,277,100,12
1685.64,127,445,102,17
1194.94,67,142,101,6
760.45,113,220,102,12
664.8,39,221,98,12
1510.63,97,440,102,8
5803.3,587,544,102,14
3590.4900000000002,173,858,102,10
382.55,44,157,100,12
423.32,17,110,96,15
2642.9900000000002,145,651,102,2
5835.68,334,1042,102,8
7748.49,165,1299,100,7
2305.0,156,337,102,2
1530.1200000000001,51,358,102,9
8295.58,96,1308,95,8
3208.71,70,507,102,12
2102.36,36,590,102,1
1525.02,41,447,102,6
1551.27,29,403,93,5
812.28,65,261,100,8
286.02,20,42,97,17
1773.3,185,546,101,14
3646.39,92,783,97,1
2055.92,49,535,99,5
1848.52,61,522,102,11
2718.9900000000002,98,612,102,5
2964.51,137,778,102,5
5431.01,162,728,102,17
922.39,29,379,100,15
133.68,9,39,96,15
406.96,20,138,95,11
5866.56,212,886,102,13
3886.87,80,748,100,6
4835.71,124,773,102,10
7148.28,117,972,91,18
4925.56,196,677,102,11
8.17,1,4,14,14
3050.52,73,609,98,9
648.4,13,114,94,17
766.4,63,276,101,16
904.1800000000001,58,297,102,8
753.36,70,225,78,6
84.82000000000001,5,33,65,3
478.13,22,134,100,7
2298.84,57,589,101,17
4723.8,151,1181,102,14
516.34,7,193,89,5
188.54,18,43,101,17
1254.17,32,340,102,8
1455.43,66,388,100,11
1190.51,55,290,100,17
277.14,16,51,82,5
7903.36,346,1667,102,13
5425.53,373,637,102,4
1114.44,25,341,102,14
12130.01,161,901,101,4
2339.27,66,339,101,14
1826.73,47,552,102,10
295.23,17,81,102,12
3742.89,105,918,101,11
4926.37,153,1074,102,14
819.13,32,256,95,2
2071.15,112,494,102,10
858.8000000000001,53,239,100,4
29.340000000000003,3,8,71,12
5731.87,277,796,102,12
1984.58,72,441,100,17
902.77,40,242,98,16
4574.92,183,967,102,15
3581.52,130,410,102,16
373.83,17,125,101,1
1831.14,56,511,100,2
1476.22,53,377,99,7
1060.64,40,231,102,17
401.88,23,102,93,17
2792.87,64,576,100,8
1315.44,465,440,102,17
1308.76,34,311,91,8
1557.13,87,500,102,2
1411.25,45,322,97,17
4382.21,69,777,101,8
1269.09,65,208,102,9
3280.73,93,503,102,19
1784.19,47,470,99,8
2313.52,123,595,100,9
3697.55,104,394,102,10
1594.85,131,528,98,4
2660.28,56,694,102,14
3339.0,122,381,91,16
1676.76,55,548,101,14
4255.83,93,939,98,13
2299.35,98,343,102,17
854.91,39,206,102,7
853.65,52,216,101,2
2289.47,44,539,101,8
7259.09,265,1460,102,14
1524.33,21,396,100,8
561.03,21,108,87,7
693.86,15,147,96,5
718.46,29,222,98,8
2426.35,115,493,101,16
249.34,27,80,71,12
7290.9,326,1378,102,3
1404.3600000000001,26,285,101,8
3178.11,79,475,100,6
2488.77,72,614,102,10
842.45,52,228,102,10
498.06,21,122,102,12
1218.08,146,345,102,12
3134.9,254,612,102,5
8612.85,180,1382,102,1
6749.1900000000005,102,962,102,10
1400.1100000000001,35,303,102,14
1114.16,16,271,87,5
903.15,45,282,74,14
3111.55,102,532,100,14
6753.54,120,1132,102,13
11771.13,356,1665,102,1
3750.12,167,718,98,7
4399.53,39,807,102,17
2996.69,117,696,101,14
435.26,23,111,101,9
1337.7,98,173,102,7
5060.44,146,936,101,8
5137.74,142,822,102,15
3063.34,156,629,99,5
1098.3,56,167,77,13
805.07,42,235,99,1
5822.64,211,1063,102,8
247.93,27,92,102,9
9540.54,262,1456,102,5
298.97,17,93,100,13
3338.41,134,589,102,5
13534.93,325,1733,102,8
660.79,34,220,95,5
646.4,57,226,99,1
2421.39,104,600,101,15
2373.7400000000002,146,676,102,10
2996.37,113,456,102,8
3826.25,100,984,102,6
3354.9,213,551,102,9
357.78000000000003,5,116,93,7
5520.3,166,766,102,9
5241.27,79,880,102,7
1850.07,53,347,97,6
3219.5,182,760,102,5
2311.65,56,356,102,2
5856.38,128,948,102,8
3323.12,97,762,102,6
3203.01,216,738,102,7
5148.9800000000005,217,795,102,14
1665.89,162,421,102,4
573.0600000000001,24,212,97,16
2316.24,73,393,102,12
3978.7200000000003,144,635,102,13
347.31,11,141,101,3
2757.2400000000002,122,511,102,1
346.4,24,95,100,32
476.14,10,209,101,5
1315.54,27,363,100,4
7343.87,544,1039,102,17
168.98,5,50,87,9
304.98,19,99,82,15
3179.15,142,452,102,14
2384.37,147,525,102,18
3899.16,124,579,102,16
6003.47,160,956,101,4
1233.92,34,395,102,16
649.33,25,260,101,2
1785.46,45,318,102,13
1147.99,18,267,102,4
377.49,27,119,91,3
7746.27,206,811,102,1
9277.72,483,962,102,5
3370.68,94,815,102,15
5493.89,167,867,102,16
1555.15,35,346,68,10
362.9,34,82,94,5
9045.17,227,1538,102,10
2510.04,113,560,102,5
8039.29,164,1016,102,17
759.83,79,216,89,10
2253.25,92,589,98,10
13221.75,355,1900,102,5
2208.34,64,456,85,6
1415.59,31,426,101,13
3772.03,214,807,102,14
429.06,49,120,78,13
1691.72,41,538,99,3
6326.74,129,1043,102,10
1910.4,73,330,102,9
1553.45,55,463,80,17
1415.65,78,374,100,2
370.53000000000003,8,113,77,11
1800.09,48,337,102,11
10822.55,228,1498,101,14
2330.08,146,539,102,6
1991.29,61,536,102,3
5040.28,95,887,100,8
119.8,20,23,101,12
1052.48,49,313,101,15
760.89,32,209,99,3
7954.28,168,1223,102,17
8271.31,394,625,102,15
1381.73,39,211,100,11
3199.53,105,841,102,17
995.08,31,410,99,17
715.98,39,133,102,5
1020.7,100,320,102,13
1121.2,66,385,102,16
1151.04,57,379,102,13
9164.15,119,1199,102,4
5685.67,192,1033,102,5
5089.66,127,439,100,12
2731.15,121,635,102,10
704.61,50,172,102,4
4727.57,139,968,102,5
4832.38,223,490,102,15
10741.1,376,1348,102,2
1600.99,45,436,102,14
459.17,57,99,78,13
6494.31,262,1138,102,3
3513.02,96,753,101,17
2773.19,66,319,102,1
4438.29,217,736,82,5
170.06,9,60,86,17
2052.67,107,633,102,6
6019.77,201,893,102,15
534.57,21,126,94,16
3205.8,69,656,102,2
3207.61,28,707,100,11
28.96,3,20,56,17
4963.14,273,793,102,4
2511.33,54,540,101,6
3891.14,124,467,102,12
6378.8,209,1294,100,2
1756.64,154,264,102,12
8523.93,226,1229,102,17
14715.53,326,1805,102,17
2823.59,62,644,101,9
1204.49,127,432,102,1
10353.0,150,1152,102,9
2981.04,39,488,101,3
2593.56,39,479,101,15
8205.68,276,889,102,12
9475.69,219,1020,102,11
76.53,9,32,76,17
1385.93,93,274,100,12
4024.6,133,954,102,4
19194.420000000002,498,1877,102,15
2828.06,68,617,102,3
5536.4,156,1235,102,7
3724.48,229,944,102,4
429.79,36,99,102,5
11711.02,256,1249,102,6
540.9,24,129,100,15
4117.34,294,633,102,8
3712.14,178,842,102,7
1290.68,81,318,102,12
616.72,51,125,99,15
19299.86,599,2844,102,1
1098.51,34,271,101,4
1678.8,86,146,102,7
553.57,46,139,101,16
6437.62,136,1069,101,15
1230.83,23,281,101,12
639.3,26,120,95,11
4828.58,133,815,102,13
2220.15,71,642,102,11
4923.13,118,765,102,10
10732.91,475,1162,102,7
1159.32,32,294,101,8
1111.69,92,158,101,3
3151.31,233,680,101,13
3967.82,104,735,102,18
2678.56,76,409,101,13
1319.76,76,243,100,4
1062.25,92,281,99,9
3061.62,60,635,101,4
1593.51,52,420,94,5
2593.12,101,649,102,15
160.06,6,61,42,14
6644.85,113,1164,102,17
3414.6,88,681,101,12
3950.96,328,913,101,11
1988.97,71,443,100,17
4730.31,158,1080,101,1
6713.51,180,1203,102,10
569.0500000000001,39,101,85,16
1166.73,136,335,102,17
2709.18,84,661,101,10
1066.62,77,271,101,13
598.62,49,224,102,13
521.04,27,179,94,5
3792.56,106,750,102,9
2177.13,50,575,102,5
1535.13,32,224,101,17
10617.05,307,675,102,6
690.42,24,259,92,9
2023.3700000000001,40,464,96,17
344.92,17,96,99,15
1274.09,41,258,101,5
1872.52,70,238,79,6
9036.01,178,1314,102,13
8982.79,886,1674,102,13
2815.58,40,565,89,11
3196.78,112,771,101,18
1586.58,30,338,102,13
8350.09,122,1376,101,17
562.77,13,225,98,13
6681.35,466,1181,102,16
1543.63,46,534,101,7
2246.36,43,541,100,15
7990.97,497,1644,102,17
271.88,42,81,99,14
899.63,22,201,101,3
909.96,16,291,94,12
1121.0,33,312,74,7
3153.7,72,650,102,7
2745.75,40,435,102,12
2285.59,123,399,88,1
3918.28,86,757,102,11
579.72,67,169,101,15
1665.51,57,319,101,14
1557.05,70,391,95,11
387.34,17,124,84,5
3117.66,134,450,102,3
2089.8,103,269,102,7
7434.07,204,964,102,16
2504.59,190,276,102,15
7514.2,295,1473,102,10
370.3,26,95,102,2
2842.63,58,628,101,16
303.01,21,116,90,2
337.11,23,115,102,16
1832.03,107,333,101,13
1752.5,32,381,100,15
1295.91,45,320,97,7
445.65,50,148,101,2
3059.57,92,545,102,17
1586.58,54,439,101,7
2084.11,68,558,102,5
10426.58,443,1276,102,9
1652.07,29,265,102,11
2154.43,59,344,101,8
2036.84,65,392,102,4
3917.7400000000002,221,948,101,12
5565.47,304,703,102,2
5875.35,125,1035,102,8
4014.02,123,738,101,4
2317.9,206,545,102,15
619.75,57,179,99,12
540.1,37,97,100,11
680.23,39,269,100,7
1165.27,93,173,99,5
2065.1,33,430,102,3
773.76,23,229,99,17
1802.37,47,531,100,15
3468.66,106,762,100,4
4801.85,147,876,102,15
1724.59,52,362,102,11
161.75,6,46,101,11
4603.9800000000005,208,1165,102,10
464.56,17,50,89,16
866.5600000000001,42,239,101,9
2590.15,117,496,101,14
1167.03,57,361,102,14
11835.02,242,1680,102,11
203.01,26,59,99,4
326.88,20,123,102,1
1123.16,37,321,72,9
1635.21,32,384,100,14
1694.32,231,406,102,11
8831.35,166,1198,102,10
479.24,14,110,101,8
1975.56,34,399,87,16
946.28,28,202,102,8
273.81,17,66,85,17
1564.35,75,342,99,14
793.38,36,196,102,16
384.69,32,165,102,7
846.7,10,252,100,13
11944.57,214,1634,102,12
2550.37,157,483,102,10
7527.27,506,1087,101,17
2619.23,74,627,102,4
5399.64,141,718,102,12
5097.28,117,1000,101,12
1120.9,34,314,98,13
1463.32,53,263,102,16
2684.13,29,448,101,14
4599.52,62,826,102,13
1252.91,97,369,101,7
166.78,21,27,95,2
1943.73,95,426,101,15
13497.29,516,807,102,10
551.87,36,190,98,17
5617.79,216,922,102,17
5080.04,182,741,102,15
4040.81,43,649,101,16
594.23,42,199,102,11
7074.2,194,1037,102,11
261.06,52,88,92,12
1382.53,34,249,102,6
1753.9,71,408,102,6
2183.53,146,488,102,6
7892.97,109,1118,102,4
1887.73,35,291,100,16
5519.35,136,868,100,5
6088.84,182,911,102,5
6836.65,162,1127,102,14
1428.67,130,364,102,10
241.41,12,88,60,14
10435.960000000001,132,1144,102,16
172.07,9,47,99,7
2938.15,113,616,100,12
222.22,5,55,80,4
1473.27,68,427,99,7
5899.04,200,776,102,16
3355.07,63,525,101,13
5980.72,181,1107,102,14
2448.6,96,455,101,12
197.39,12,79,97,13
4295.11,139,903,102,14
4609.8,240,967,101,15
10165.13,352,1104,102,6
674.35,70,190,102,3
2602.8,87,473,102,10
4890.11,198,599,102,3
1133.71,48,386,100,1
8689.01,79,1296,102,2
12983.01,216,1397,102,6
1068.91,31,302,100,10
7035.21,113,1086,102,12
443.31,22,192,87,11
4729.01,111,737,102,9
1095.29,31,263,98,8
8700.15,211,695,101,4
5274.46,112,1310,102,8
840.23,62,233,102,11
8355.23,315,983,102,16
315.15,12,75,92,7
16450.53,1223,1641,102,10
2766.7,76,697,102,16
135.23000000000002,10,24,87,4
2949.56,72,466,101,10
890.25,31,248,102,4
851.9300000000001,31,208,95,3
7048.71,382,402,102,8
1953.06,92,446,102,2
6097.47,199,895,102,14
12414.56,713,1999,102,10
1158.1100000000001,34,286,92,9
3696.76,75,665,99,13
1164.11,20,300,89,14
1830.63,69,290,101,4
1834.08,60,305,102,12
970.11,119,174,102,11
3764.6,206,901,102,14
488.48,44,164,82,14
3135.38,152,770,87,3
1469.45,135,440,102,17
5887.36,238,972,102,8
101.3,9,30,87,9
3336.9900000000002,150,592,100,6
3305.54,164,555,102,7
2336.18,95,395,102,1
485.24,79,111,94,7
7274.1,241,753,101,1
1530.88,46,426,100,5
3571.7,137,871,102,9
5342.55,244,1018,102,12
966.88,43,68,102,10
4967.07,42,837,96,14
5845.96,158,1014,99,2
2175.19,79,542,95,9
10709.38,234,2197,102,6
1564.67,57,302,99,7
7089.49,502,1244,102,10
1669.89,68,342,102,12
1647.3600000000001,26,361,92,8
5254.66,154,939,102,13
1261.6200000000001,65,336,98,15
2206.06,122,496,102,15
5890.14,215,1014,98,13
3434.14,144,780,98,8
2859.76,104,451,101,11
1926.03,51,390,101,10
2530.45,136,749,102,4
2305.51,221,356,102,2
304.85,4,100,54,8
5799.97,134,923,102,17
2027.0,58,491,88,13
690.22,18,149,102,3
2201.47,111,566,102,15
2513.39,114,669,101,4
2537.43,53,649,100,9
4053.69,274,881,102,9
10231.93,621,1010,102,8
3754.9,576,802,102,5
313.37,11,98,102,16
1074.69,60,197,102,16
2447.4900000000002,106,325,102,5
3956.27,72,765,100,16
1530.44,53,390,100,17
2036.66,43,395,85,5
2044.8500000000001,88,463,102,15
1764.07,52,442,101,2
202.06,16,32,94,14
299.38,10,109,96,13
9805.11,167,1549,102,6
311.59000000000003,8,95,98,9
691.45,15,143,101,14
3676.15,126,856,102,8
4219.18,197,665,102,14
13486.32,84,1617,102,14
1993.06,43,474,102,10
4769.31,182,346,102,16
6190.51,82,1025,102,10
1036.52,34,360,100,17
3014.35,71,698,102,16
12854.66,205,2093,102,4
1330.22,29,305,100,11
1394.1100000000001,36,238,99,12
18790.34,412,1566,102,10
3807.15,196,1055,102,10
1219.71,32,354,98,11
2057.47,110,624,102,1
1827.8700000000001,90,338,100,5
2334.53,75,545,101,5
6109.18,196,1027,102,2
4663.38,174,1190,102,7
247.12,16,53,82,13
1419.8799999999999,31,67,96,7
823.35,102,175,102,16
3064.87,126,674,101,15
581.45,21,192,101,3
1217.16,21,334,101,11
2220.85,139,437,102,3
4646.81,92,820,102,5
8305.39,250,1482,101,14
2154.25,57,557,101,2
4150.76,138,573,102,8
4082.0,90,673,102,3
973.9300000000001,30,341,102,11
2588.73,63,556,98,5
3708.7200000000003,253,394,102,13
2470.09,180,429,102,17
161.48,11,47,95,8
1368.97,122,511,102,11
511.12,40,93,99,12
125.52,23,58,84,11
2486.39,91,512,102,13
3495.2,140,670,101,7
2342.51,121,675,97,9
947.03,35,300,101,8
4199.76,161,1205,101,10
3807.72,108,628,102,7
3089.84,40,572,94,1
3436.26,63,892,101,5
2138.59,167,393,102,6
1553.56,53,341,101,2
9561.460000000001,171,1521,102,13
2086.12,99,454,102,15
263.27,36,97,84,7
38319.79,603,1620,102,16
9448.75,145,1143,102,11
3552.13,81,899,100,7
412.54,26,133,62,2
1064.99,41,242,102,8
121.91,12,46,80,6
13785.55,276,974,102,14
1260.29,30,223,96,12
4232.12,146,588,80,11
2473.76,92,467,94,14
1366.97,26,298,92,12
840.87,70,184,100,8
183.04,4,35,59,31
1231.17,27,250,95,15
1076.69,33,157,102,4
1602.0,275,465,101,12
5168.38,82,886,102,16
5664.74,229,760,102,8
7156.7,291,1527,102,11
5284.12,248,1276,102,6
988.73,19,297,96,16
423.51,20,145,102,8
4893.11,295,984,102,11
4314.95,153,702,100,8
1052.94,80,299,101,16
1934.45,103,315,93,9
698.06,55,269,101,15
5134.89,135,819,102,17
2275.67,55,602,100,10
231.66,7,88,34,12
4616.42,96,494,102,16
1035.19,41,299,99,15
1204.41,81,291,100,9
4871.09,66,755,101,4
8219.34,184,501,102,8
3280.18,563,667,102,10
72.91,5,34,80,6
